Week Ending Date,Report Date,Date,Weighted Prices,Sales
08/19/2017,08/23/2017,07/22,2.5866,"4,279,573"
08/19/2017,08/23/2017,07/29,2.6475,"2,164,100"
08/19/2017,08/23/2017,08/05,2.6459,"3,949,076"
08/19/2017,08/23/2017,08/12,2.6710,"5,479,981"
08/19/2017,08/23/2017,08/19,2.6750,"4,468,955"
08/12/2017,08/16/2017,08/12,2.6715,"5,438,204"
08/12/2017,08/16/2017,08/05,2.6457,"3,949,627"
08/12/2017,08/16/2017,07/29,2.6475,"2,164,100"
08/12/2017,08/16/2017,07/22,2.5866,"4,279,573"
08/12/2017,08/16/2017,07/15,2.6086,"3,261,301"
08/05/2017,08/09/2017,07/08,2.6540,"1,958,497"
08/05/2017,08/09/2017,07/15,2.6086,"3,261,300"
08/05/2017,08/09/2017,07/22,2.5866,"4,279,573"
08/05/2017,08/09/2017,07/29,2.6475,"2,164,100"
08/05/2017,08/09/2017,08/05,2.6456,"3,949,627"
07/29/2017,08/02/2017,07/29,2.6471,"2,081,483"
07/29/2017,08/02/2017,07/22,2.5865,"4,238,237"
07/29/2017,08/02/2017,07/15,2.6086,"3,261,300"
07/29/2017,08/02/2017,07/08,2.6540,"1,958,497"
07/29/2017,08/02/2017,07/01,2.5727,"4,138,143"
07/22/2017,07/26/2017,06/24,2.5680,"2,466,546"
07/22/2017,07/26/2017,07/01,2.5727,"4,138,143"
07/22/2017,07/26/2017,07/08,2.6540,"1,958,497"
07/22/2017,07/26/2017,07/15,2.6086,"3,261,300"
07/22/2017,07/26/2017,07/22,2.5862,"4,196,901"
07/15/2017,07/19/2017,07/15,2.6086,"3,261,300"
07/15/2017,07/19/2017,07/08,2.6540,"1,961,143"
07/15/2017,07/19/2017,07/01,2.5726,"4,138,143"
07/15/2017,07/19/2017,06/24,2.5680,"2,466,546"
07/15/2017,07/19/2017,06/17,2.4566,"5,479,230"
07/08/2017,07/12/2017,06/10,2.3887,"6,472,040"
07/08/2017,07/12/2017,06/17,2.4566,"5,479,230"
07/08/2017,07/12/2017,06/24,2.5680,"2,466,546"
07/08/2017,07/12/2017,07/01,2.5726,"4,135,387"
07/08/2017,07/12/2017,07/08,2.6540,"1,961,143"
07/01/2017,07/06/2017,07/01,2.5582,"4,259,120"
07/01/2017,07/06/2017,06/24,2.5532,"2,543,542"
07/01/2017,07/06/2017,06/17,2.4566,"5,479,230"
07/01/2017,07/06/2017,06/10,2.3887,"6,472,040"
07/01/2017,07/06/2017,06/03,2.3213,"5,883,309"
