Week Ending Date,Report Date,Date,Weighted Prices,Sales
08/19/2017,08/23/2017,07/22,.4393,"8,287,589"
08/19/2017,08/23/2017,07/29,.4489,"6,475,846"
08/19/2017,08/23/2017,08/05,.4317,"7,322,913"
08/19/2017,08/23/2017,08/12,.4330,"6,830,926"
08/19/2017,08/23/2017,08/19,.4317,"6,587,954"
08/12/2017,08/16/2017,08/12,.4326,"6,830,926"
08/12/2017,08/16/2017,08/05,.4373,"6,269,225"
08/12/2017,08/16/2017,07/29,.4489,"6,475,846"
08/12/2017,08/16/2017,07/22,.4393,"8,287,589"
08/12/2017,08/16/2017,07/15,.4477,"7,772,251"
08/05/2017,08/09/2017,07/08,.4504,"6,199,571"
08/05/2017,08/09/2017,07/15,.4477,"7,772,251"
08/05/2017,08/09/2017,07/22,.4393,"8,287,589"
08/05/2017,08/09/2017,07/29,.4489,"6,475,846"
08/05/2017,08/09/2017,08/05,.4344,"6,190,970"
07/29/2017,08/02/2017,07/29,.4501,"6,215,330"
07/29/2017,08/02/2017,07/22,.4413,"7,992,503"
07/29/2017,08/02/2017,07/15,.4472,"7,856,577"
07/29/2017,08/02/2017,07/08,.4504,"6,199,571"
07/29/2017,08/02/2017,07/01,.4753,"5,321,899"
07/22/2017,07/26/2017,06/24,.4763,"6,655,435"
07/22/2017,07/26/2017,07/01,.4753,"5,321,899"
07/22/2017,07/26/2017,07/08,.4504,"6,199,571"
07/22/2017,07/26/2017,07/15,.4475,"7,752,520"
07/22/2017,07/26/2017,07/22,.4413,"7,992,503"
07/15/2017,07/19/2017,07/15,.4467,"7,921,227"
07/15/2017,07/19/2017,07/08,.4518,"6,073,138"
07/15/2017,07/19/2017,07/01,.4753,"5,321,899"
07/15/2017,07/19/2017,06/24,.4763,"6,655,435"
07/15/2017,07/19/2017,06/17,.4864,"6,716,209"
07/08/2017,07/12/2017,06/10,.4993,"6,631,364"
07/08/2017,07/12/2017,06/17,.4864,"6,716,209"
07/08/2017,07/12/2017,06/24,.4763,"6,655,435"
07/08/2017,07/12/2017,07/01,.4753,"5,321,899"
07/08/2017,07/12/2017,07/08,.4577,"5,289,678"
07/01/2017,07/06/2017,07/01,.4728,"5,133,949"
07/01/2017,07/06/2017,06/24,.4763,"6,655,876"
07/01/2017,07/06/2017,06/17,.4886,"6,505,945"
07/01/2017,07/06/2017,06/10,.4993,"6,631,364"
07/01/2017,07/06/2017,06/03,.4992,"7,081,206"
06/24/2017,06/28/2017,05/27,.4904,"6,663,366"
06/24/2017,06/28/2017,06/03,.4992,"7,081,206"
06/24/2017,06/28/2017,06/10,.4993,"6,631,364"
06/24/2017,06/28/2017,06/17,.4920,"6,337,459"
06/24/2017,06/28/2017,06/24,.4757,"6,571,876"
06/17/2017,06/21/2017,06/17,.4926,"6,269,759"
06/17/2017,06/21/2017,06/10,.4997,"6,563,201"
06/17/2017,06/21/2017,06/03,.5006,"6,954,772"
06/17/2017,06/21/2017,05/27,.4904,"6,663,366"
